PortCode,OPENING_MKTVAL,STARTMV_DATE
200500,290320.79,2018-12-07
200501,398087.25,2018-12-07
200761,676516.80,2019-01-08
200777,2151233.77,2018-12-20
200778,135997.43,2018-12-20
201621,2060872.25,2019-02-01
202617,785810.62,2018-12-20
202618,44252.81,2019-04-01
204546,1427177.00,2019-08-02
204548,434132.00,2019-08-02
208289,95976.38,2020-02-08
208290,1458307.55,2020-02-08
210291,29909.77,2020-07-16
217031,2605416.00,2021-05-11
217060,2637250.00,2021-05-04
217061,3352193.00,2021-05-04
217063,81186.00,2021-05-04
217065,80453.00,2021-05-04
217267,101125.00,2021-05-11
228557,137648.00,2021-04-04
229303,70239.83,2023-07-26
230034,33000.00,2023-08-04
233337,51303.28,2024-03-27
A002T2,294361.23,2021-11-23
A00BX3,22488.84,2022-04-07
A00G31,239186.25,2022-03-21
A00G33,41692.99,2022-03-21
A00I10,237000.00,2022-04-05
A00I11,163946.27,2022-04-13
A00I15,81685.39,2022-04-06
A00MR0,250000.00,2022-05-19
A01BW0,411931.83,2023-05-26
A01BW5,124648.02,2023-05-26
A01BW6,494513.97,2023-05-26
A01BX1,2277.93,2023-06-01
A01BX5,43682.95,2023-05-30
A01BY0,625096.96,2023-05-26
A01GN0,602887.69,2023-08-09
A01GN5,69451.37,2023-08-09
A01RG0,240925.53,2023-10-25
A01RG5,18409.10,2023-10-23
A022R0,100000.00,2024-01-18
A02AL0,896891.38,2024-03-06
A02AN1,132336.96,2024-03-07
A02AN2,1651.68,2024-03-08
A02AN3,89732.41,2024-03-07
A02AN5,99427.90,2024-03-06
A02AO5,101043.63,2024-03-07
A02AO6,140161.00,2024-03-12
A02CV0,288640.15,2023-10-10
A02HM0,819875.15,2024-05-31
A02MU0,300000.00,2024-06-06
A7A010,500000.00,2019-01-04
A7A020,373668.47,2019-01-09
A7A040,300000.00,2019-05-07
A7A041,264675.85,2021-03-18
A7A045,93804.21,2021-03-18
A7A050,602560.00,2019-08-06
A7A060,500000.00,2020-01-29
A7A070,33665.28,2020-02-05
A7A080,50722.23,2020-02-05
A7A090,1018151.65,2020-04-09
A7A096,611728.87,2020-04-09
A7A100,100000.00,2020-03-20
A7A112,183043.52,2020-04-30
A7A121,178996.86,2020-05-05
A7A123,29436.31,2020-05-05
A7A130,250000.00,2020-09-22
A7A131,30000.00,2023-12-05
A7A140,90000.00,2023-12-04
A7A145,50000.00,2020-11-25
A7A146,265491.57,2021-01-22
A7A150,613244.68,2021-06-21
A7A151,100194.90,2021-06-21
A7A155,464.00,2021-06-21
A7A161,29264.08,2023-04-03
A7A165,0.00,2021-06-21
A7A174,9182.16,2021-07-14
A7A181,500000.00,2021-06-10
A7A190,250000.00,2021-06-28
A7A200,250000.00,2021-06-28
A7A210,1000000.00,2021-09-15
A7A211,38015.00,2021-10-06
A7A220,1000000.00,2021-10-20
A7A230,635709.30,2019-02-01
A7EA11,180685.82,2020-08-06
A7EA24,67820.88,2020-08-06
A7P001,162533.97,2020-08-06
