PortCode,OPENING_MKTVAL,STARTMV_DATE
200500,290320.79,2018-12-07
200501,398087.25,2018-12-07
200761,676516.80,2019-01-08
200777,2151233.77,2018-12-20
200778,135997.43,2018-12-20
201621,2060872.25,2019-02-01
202617,785810.62,2018-12-20
202618,44252.81,2019-04-01
204546,1427177.00,2019-08-02
204548,434132.00,2019-08-02
208289,95976.38,2020-02-08
208290,1458307.55,2020-02-08
210291,29909.77,2020-07-16
217031,2605416.00,2021-05-11
217060,2637250.00,2021-05-04
217061,3352193.00,2021-05-04
217063,81186.00,2021-05-04
217065,80453.00,2021-05-04
217267,101125.00,2021-05-11
228557,137648.00,2021-04-04
229303,70239.83,2023-07-26
230034,33000.00,2023-08-04
233337,51303.28,2024-03-27
